,,conversion,click,cvr,click percentage of total data
1,cable,2922,48690,0.06001232285890327,39.16033297140789
0,broadband,1529,33527,0.04560503474811346,26.965054087746815
3,mobile,1922,26721,0.07192844579169941,21.491132826637713
8,xdsl,845,13674,0.06179610940470967,10.997707805525394
4,satellite,65,946,0.06871035940803383,0.7608477098162223
5,t1,5,533,0.009380863039399626,0.42868058068926695
7,wireless,6,201,0.029850746268656716,0.16166003136687176
2,dialup,6,31,0.1935483870967742,0.024932641653597137
6,t3,1,12,0.08333333333333333,0.00965134515623115
