,,conversion,click,cvr,click percentage of total data
1037,8CUXMDPYR,0,149,0.0,0.11983753568987011
1020,8CUX25734,0,146,0.0,0.11742469940081234
731,8CUJ17NQL,2,146,0.0136986301369863,0.11742469940081234
597,8CUD609M7,0,145,0.0,0.11662042063779307
987,8CUVB8WY8,0,144,0.0,0.11581614187477379
419,8CU78TXN8,6,143,0.04195804195804196,0.11501186311175453
579,8CUC4165X,10,143,0.06993006993006994,0.11501186311175453
317,8CU5H8BN8,10,139,0.07194244604316546,0.11179474805967748
197,8CU372913,0,132,0.0,0.10616479671854266
659,8CUFPJS4W,67,132,0.5075757575757576,0.10616479671854266
308,8CU5746W8,4,131,0.030534351145038167,0.10536051795552337
1126,9CUW8P086,0,131,0.0,0.10536051795552337
1117,9CUM88F6L,1,122,0.00819672131147541,0.09812200908835003
492,8CU8L15W1,0,121,0.0,0.09731773032533077
304,8CU55N1Z2,0,120,0.0,0.09651345156231149
905,8CURYX5U4,6,118,0.05084745762711865,0.09490489403627297
981,8CUV7314D,41,113,0.36283185840707965,0.09088350022117665
603,8CUDF41E5,1,104,0.009615384615384616,0.0836449913540033
165,8CU2RW1PD,8,102,0.0784313725490196,0.08203643382796477
6,1CUM4ZBQO,5,99,0.050505050505050504,0.07962359753890698
578,8CUC3I801,2,98,0.02040816326530612,0.07881931877588771
415,8CU785H37,2,97,0.020618556701030927,0.07801504001286846
950,8CUTSU61C,0,97,0.0,0.07801504001286846
835,8CUO50Q2W,46,96,0.4791666666666667,0.0772107612498492
896,8CUR70918,0,92,0.0,0.07399364619777214
954,8CUTYCBRX,0,91,0.0,0.07318936743475288
677,8CUGJG5I6,2,90,0.022222222222222223,0.07238508867173363
818,8CUMWPSO5,3,90,0.03333333333333333,0.07238508867173363
438,8CU7RGFE7,46,88,0.5227272727272727,0.0707765311456951
1018,8CUWXLP2J,43,86,0.5,0.06916797361965657
786,8CULP3YQN,0,84,0.0,0.06755941609361804
112,8CU1Y2Q7T,1,83,0.012048192771084338,0.06675513733059879
