,,conversion,click,cvr,click percentage of total data
651,149958,36,175,0.2057142857142857,0.14074878352837095
678,149989,5,171,0.029239766081871343,0.1375316684762939
81,128670,1,166,0.006024096385542169,0.13351027466119758
687,150004,0,163,0.0,0.13109743837213977
704,150178,2,162,0.012345679012345678,0.13029315960912052
473,147392,9,160,0.05625,0.128684602083082
706,150180,2,160,0.0125,0.128684602083082
681,149995,8,159,0.050314465408805034,0.12788032332006274
294,137672,21,158,0.13291139240506328,0.12707604455704347
693,150130,4,154,0.025974025974025976,0.12385892950496642
149,134937,0,152,0.0,0.1222503719789279
471,147390,30,143,0.2097902097902098,0.11501186311175453
679,149990,2,141,0.014184397163120567,0.113403305585716
156,135206,0,135,0.0,0.10857763300760044
479,147401,18,133,0.13533834586466165,0.10696907548156191
35,89274,3,132,0.022727272727272728,0.10616479671854266
59,126670,0,132,0.0,0.10616479671854266
347,146587,0,131,0.0,0.10536051795552337
150,134938,0,130,0.0,0.10455623919250412
63,128650,9,130,0.06923076923076923,0.10455623919250412
57,126413,0,128,0.0,0.10294768166646559
701,150175,1,125,0.008,0.10053484537740781
126,129051,24,125,0.192,0.10053484537740781
95,128686,4,125,0.032,0.10053484537740781
478,147397,61,125,0.488,0.10053484537740781
604,148099,5,125,0.04,0.10053484537740781
74,128662,9,120,0.075,0.09651345156231149
777,150978,24,119,0.20168067226890757,0.09570917279929224
710,150184,1,117,0.008547008547008548,0.09410061527325371
658,149965,41,114,0.35964912280701755,0.09168777898419593
76,128664,1,112,0.008928571428571428,0.09007922145815739
673,149984,0,112,0.0,0.09007922145815739
300,138281,38,112,0.3392857142857143,0.09007922145815739
690,150009,0,111,0.0,0.08927494269513814
60,126671,0,106,0.0,0.08525354888004182
625,149600,0,105,0.0,0.08444927011702255
748,150662,9,104,0.08653846153846154,0.0836449913540033
705,150179,6,101,0.0594059405940594,0.08123215506494551
3,89238,2,101,0.019801980198019802,0.08123215506494551
470,147389,8,101,0.07920792079207921,0.08123215506494551
677,149988,8,101,0.07920792079207921,0.08123215506494551
765,150812,4,99,0.04040404040404041,0.07962359753890698
223,136712,1,99,0.010101010101010102,0.07962359753890698
764,150811,3,99,0.030303030303030304,0.07962359753890698
761,150808,0,96,0.0,0.0772107612498492
13,89251,0,96,0.0,0.0772107612498492
213,136084,45,95,0.47368421052631576,0.07640648248682994
158,135661,0,94,0.0,0.07560220372381067
631,149606,0,94,0.0,0.07560220372381067
96,128687,11,92,0.11956521739130435,0.07399364619777214
689,150008,0,92,0.0,0.07399364619777214
619,149593,0,92,0.0,0.07399364619777214
691,150010,0,91,0.0,0.07318936743475288
702,150176,2,90,0.022222222222222223,0.07238508867173363
208,136077,15,88,0.17045454545454544,0.0707765311456951
684,150000,1,85,0.011764705882352941,0.0683636948566373
196,135849,0,85,0.0,0.0683636948566373
73,128661,4,81,0.04938271604938271,0.06514657980456026
766,150813,2,81,0.024691358024691357,0.06514657980456026
603,148098,1,81,0.012345679012345678,0.06514657980456026
714,150188,2,78,0.02564102564102564,0.06273374351550247
733,150211,22,77,0.2857142857142857,0.06192946475248321
745,150657,0,77,0.0,0.06192946475248321
760,150807,2,77,0.025974025974025976,0.06192946475248321
197,135850,0,76,0.0,0.06112518598946395
763,150810,1,76,0.013157894736842105,0.06112518598946395
215,136092,17,74,0.22972972972972974,0.059516628463425425
53,126409,0,73,0.0,0.05871234970040617
69,128657,2,73,0.0273972602739726,0.05871234970040617
608,148304,0,72,0.0,0.057908070937386896
649,149955,7,72,0.09722222222222222,0.057908070937386896
696,150170,2,72,0.027777777777777776,0.057908070937386896
722,150198,25,70,0.35714285714285715,0.056299513411348374
85,128674,5,70,0.07142857142857142,0.056299513411348374
739,150358,4,69,0.057971014492753624,0.05549523464832911
91,128682,1,69,0.014492753623188406,0.05549523464832911
228,136718,3,69,0.043478260869565216,0.05549523464832911
663,149971,2,69,0.028985507246376812,0.05549523464832911
104,128700,4,68,0.058823529411764705,0.05469095588530985
90,128681,2,65,0.03076923076923077,0.05227811959625206
421,146922,11,65,0.16923076923076924,0.05227811959625206
712,150186,1,63,0.015873015873015872,0.05066956207021354
715,150189,0,63,0.0,0.05066956207021354
87,128677,2,62,0.03225806451612903,0.04986528330719427
141,130148,7,62,0.11290322580645161,0.04986528330719427
32,89271,0,61,0.0,0.049061004544175016
252,136746,4,61,0.06557377049180328,0.049061004544175016
292,137662,9,60,0.15,0.048256725781155745
212,136083,27,60,0.45,0.048256725781155745
737,150217,33,59,0.559322033898305,0.04745244701813649
282,136790,1,59,0.01694915254237288,0.04745244701813649
34,89273,0,58,0.0,0.04664816825511722
45,96417,0,58,0.0,0.04664816825511722
155,135205,0,58,0.0,0.04664816825511722
121,129045,13,57,0.22807017543859648,0.045843889492097965
209,136078,4,57,0.07017543859649122,0.045843889492097965
465,147384,6,56,0.10714285714285714,0.045039610729078694
166,135679,0,55,0.0,0.04423533196605944
122,129046,14,55,0.2545454545454545,0.04423533196605944
19,89258,0,51,0.0,0.041018216913982386
376,146659,0,51,0.0,0.041018216913982386
762,150809,0,51,0.0,0.041018216913982386
754,150681,0,50,0.0,0.04021393815096312
747,150661,2,50,0.04,0.04021393815096312
743,150653,0,49,0.0,0.03940965938794386
629,149604,0,49,0.0,0.03940965938794386
711,150185,2,49,0.04081632653061224,0.03940965938794386
127,129052,9,47,0.19148936170212766,0.037801101861905335
310,146211,0,47,0.0,0.037801101861905335
731,150209,5,47,0.10638297872340426,0.037801101861905335
227,136717,3,45,0.06666666666666667,0.036192544335866814
78,128666,1,45,0.022222222222222223,0.036192544335866814
54,126410,0,45,0.0,0.036192544335866814
39,96409,1,44,0.022727272727272728,0.03538826557284755
137,129076,5,44,0.11363636363636363,0.03538826557284755
746,150659,0,44,0.0,0.03538826557284755
33,89272,0,43,0.0,0.034583986809828285
697,150171,0,43,0.0,0.034583986809828285
703,150177,0,43,0.0,0.034583986809828285
472,147391,0,42,0.0,0.03377970804680902
62,128649,1,41,0.024390243902439025,0.03297542928378976
753,150680,2,41,0.04878048780487805,0.03297542928378976
1,77009,7,41,0.17073170731707318,0.03297542928378976
100,128696,3,41,0.07317073170731707,0.03297542928378976
726,150202,16,41,0.3902439024390244,0.03297542928378976
475,147394,8,41,0.1951219512195122,0.03297542928378976
50,126406,0,40,0.0,0.0321711505207705
84,128673,1,40,0.025,0.0321711505207705
660,149967,4,40,0.1,0.0321711505207705
247,136741,2,40,0.05,0.0321711505207705
683,149999,0,38,0.0,0.030562592994731973
664,149972,3,38,0.07894736842105263,0.030562592994731973
655,149962,5,38,0.13157894736842105,0.030562592994731973
402,146738,0,38,0.0,0.030562592994731973
562,147672,0,38,0.0,0.030562592994731973
626,149601,0,37,0.0,0.029758314231712713
231,136722,0,37,0.0,0.029758314231712713
700,150174,0,37,0.0,0.029758314231712713
36,89275,1,37,0.02702702702702703,0.029758314231712713
89,128680,0,37,0.0,0.029758314231712713
94,128685,0,36,0.0,0.028954035468693448
229,136719,1,36,0.027777777777777776,0.028954035468693448
157,135660,0,36,0.0,0.028954035468693448
44,96416,0,36,0.0,0.028954035468693448
113,129037,7,35,0.2,0.028149756705674187
236,136730,0,35,0.0,0.028149756705674187
211,136082,17,35,0.4857142857142857,0.028149756705674187
571,147693,0,35,0.0,0.028149756705674187
467,147386,2,35,0.05714285714285714,0.028149756705674187
734,150214,15,34,0.4411764705882353,0.027345477942654926
723,150199,6,34,0.17647058823529413,0.027345477942654926
138,129077,4,34,0.11764705882352941,0.027345477942654926
525,147567,0,34,0.0,0.027345477942654926
749,150663,6,33,0.18181818181818182,0.026541199179635665
200,136010,3,33,0.09090909090909091,0.026541199179635665
624,149599,0,33,0.0,0.026541199179635665
340,146309,0,32,0.0,0.025736920416616398
20,89259,1,32,0.03125,0.025736920416616398
115,129039,7,32,0.21875,0.025736920416616398
119,129043,9,31,0.2903225806451613,0.024932641653597137
49,126405,0,31,0.0,0.024932641653597137
645,149946,0,31,0.0,0.024932641653597137
519,147540,0,30,0.0,0.024128362890577872
463,147381,0,30,0.0,0.024128362890577872
565,147683,0,29,0.0,0.02332408412755861
140,130147,5,29,0.1724137931034483,0.02332408412755861
38,96408,2,29,0.06896551724137931,0.02332408412755861
661,149968,4,28,0.14285714285714285,0.022519805364539347
68,128656,0,28,0.0,0.022519805364539347
52,126408,0,28,0.0,0.022519805364539347
144,130984,0,28,0.0,0.022519805364539347
459,147364,0,28,0.0,0.022519805364539347
591,147737,0,28,0.0,0.022519805364539347
605,148100,1,27,0.037037037037037035,0.02171552660152009
61,128648,4,27,0.14814814814814814,0.02171552660152009
729,150207,11,27,0.4074074074074074,0.02171552660152009
233,136725,0,27,0.0,0.02171552660152009
338,146298,0,27,0.0,0.02171552660152009
123,129047,6,26,0.23076923076923078,0.020911247838500825
636,149613,0,26,0.0,0.020911247838500825
251,136745,1,26,0.038461538461538464,0.020911247838500825
752,150679,0,25,0.0,0.02010696907548156
163,135673,0,25,0.0,0.02010696907548156
639,149616,0,25,0.0,0.02010696907548156
728,150206,5,25,0.2,0.02010696907548156
147,134916,1,24,0.041666666666666664,0.0193026903124623
596,147817,0,24,0.0,0.0193026903124623
145,130985,0,23,0.0,0.018498411549443036
725,150201,5,22,0.22727272727272727,0.017694132786423775
699,150173,0,22,0.0,0.017694132786423775
437,146957,3,22,0.13636363636363635,0.017694132786423775
239,136733,0,22,0.0,0.017694132786423775
637,149614,0,21,0.0,0.01688985402340451
165,135678,0,21,0.0,0.01688985402340451
583,147725,0,21,0.0,0.01688985402340451
161,135664,0,21,0.0,0.01688985402340451
653,149960,2,20,0.1,0.01608557526038525
438,146958,2,20,0.1,0.01608557526038525
226,136716,1,20,0.05,0.01608557526038525
152,135057,7,20,0.35,0.01608557526038525
134,129065,3,20,0.15,0.01608557526038525
504,147461,0,19,0.0,0.015281296497365987
374,146651,0,19,0.0,0.015281296497365987
429,146944,3,19,0.15789473684210525,0.015281296497365987
217,136104,3,19,0.15789473684210525,0.015281296497365987
410,146756,0,19,0.0,0.015281296497365987
195,135848,0,18,0.0,0.014477017734346724
258,136754,0,18,0.0,0.014477017734346724
772,150967,3,18,0.16666666666666666,0.014477017734346724
507,147466,0,18,0.0,0.014477017734346724
14,89252,0,17,0.0,0.013672738971327463
613,149359,1,17,0.058823529411764705,0.013672738971327463
240,136734,0,17,0.0,0.013672738971327463
773,150968,2,17,0.11764705882352941,0.013672738971327463
