,,conversion,click,cvr,click percentage of total data
2501,33438,0,15,0.0,0.012064181445288936
1115,15011,1,15,0.06666666666666667,0.012064181445288936
1134,15153,1,15,0.06666666666666667,0.012064181445288936
855,12177,0,15,0.0,0.012064181445288936
1848,23314,1,15,0.06666666666666667,0.012064181445288936
2524,33616,0,15,0.0,0.012064181445288936
847,12119,0,15,0.0,0.012064181445288936
872,12261,1,15,0.06666666666666667,0.012064181445288936
381,5719,0,15,0.0,0.012064181445288936
2065,26831,1,15,0.06666666666666667,0.012064181445288936
1086,14828,0,15,0.0,0.012064181445288936
2952,53264,0,15,0.0,0.012064181445288936
1048,14464,0,15,0.0,0.012064181445288936
257,3479,0,15,0.0,0.012064181445288936
227,2920,1,15,0.06666666666666667,0.012064181445288936
1708,22252,0,14,0.0,0.011259902682269674
2201,29933,0,14,0.0,0.011259902682269674
389,5766,0,14,0.0,0.011259902682269674
504,7203,0,14,0.0,0.011259902682269674
2310,31822,0,14,0.0,0.011259902682269674
1834,23162,0,14,0.0,0.011259902682269674
860,12208,0,14,0.0,0.011259902682269674
3275,393227,1,14,0.07142857142857142,0.011259902682269674
1865,23473,0,14,0.0,0.011259902682269674
3371,394167,1,14,0.07142857142857142,0.011259902682269674
1867,23481,0,14,0.0,0.011259902682269674
2996,53766,0,14,0.0,0.011259902682269674
2960,53347,0,14,0.0,0.011259902682269674
753,11584,0,14,0.0,0.011259902682269674
825,12007,0,14,0.0,0.011259902682269674
171,1798,2,14,0.14285714285714285,0.011259902682269674
495,7132,0,13,0.0,0.010455623919250413
2731,40317,3,13,0.23076923076923078,0.010455623919250413
2754,40545,2,13,0.15384615384615385,0.010455623919250413
1612,21615,1,13,0.07692307692307693,0.010455623919250413
1025,14263,0,13,0.0,0.010455623919250413
1748,22534,0,13,0.0,0.010455623919250413
952,13788,0,13,0.0,0.010455623919250413
1049,14477,0,13,0.0,0.010455623919250413
2286,30633,0,13,0.0,0.010455623919250413
815,11961,0,13,0.0,0.010455623919250413
1797,22925,0,13,0.0,0.010455623919250413
2906,46830,1,13,0.07692307692307693,0.010455623919250413
1339,18618,3,13,0.23076923076923078,0.010455623919250413
264,3561,0,13,0.0,0.010455623919250413
1188,16604,1,13,0.07692307692307693,0.010455623919250413
848,12129,0,13,0.0,0.010455623919250413
1559,20283,0,13,0.0,0.010455623919250413
276,3676,1,13,0.07692307692307693,0.010455623919250413
3040,54249,1,13,0.07692307692307693,0.010455623919250413
3271,203724,0,13,0.0,0.010455623919250413
91,1246,2,13,0.15384615384615385,0.010455623919250413
3007,53848,2,13,0.15384615384615385,0.010455623919250413
2899,46790,0,13,0.0,0.010455623919250413
2037,26727,1,13,0.07692307692307693,0.010455623919250413
861,12217,0,13,0.0,0.010455623919250413
2443,32867,0,13,0.0,0.010455623919250413
1475,19635,0,13,0.0,0.010455623919250413
2053,26794,0,13,0.0,0.010455623919250413
2668,36728,0,13,0.0,0.010455623919250413
435,6356,1,12,0.08333333333333333,0.00965134515623115
3263,64512,0,12,0.0,0.00965134515623115
2216,30029,0,12,0.0,0.00965134515623115
1292,17253,1,12,0.08333333333333333,0.00965134515623115
1127,15100,0,12,0.0,0.00965134515623115
646,10971,3,12,0.25,0.00965134515623115
1761,22647,4,12,0.3333333333333333,0.00965134515623115
1340,18624,0,12,0.0,0.00965134515623115
2119,27264,1,12,0.08333333333333333,0.00965134515623115
1197,16657,0,12,0.0,0.00965134515623115
1069,14677,0,12,0.0,0.00965134515623115
630,10835,2,12,0.16666666666666666,0.00965134515623115
1102,14928,1,12,0.08333333333333333,0.00965134515623115
1110,14977,0,12,0.0,0.00965134515623115
1630,21713,4,12,0.3333333333333333,0.00965134515623115
3156,62632,2,12,0.16666666666666666,0.00965134515623115
623,10753,0,12,0.0,0.00965134515623115
2212,29990,0,12,0.0,0.00965134515623115
3072,54579,0,12,0.0,0.00965134515623115
252,3452,0,12,0.0,0.00965134515623115
324,4282,0,12,0.0,0.00965134515623115
928,13672,0,12,0.0,0.00965134515623115
2694,40034,0,12,0.0,0.00965134515623115
2268,30449,0,12,0.0,0.00965134515623115
3535,396253,0,12,0.0,0.00965134515623115
956,13807,1,12,0.08333333333333333,0.00965134515623115
505,7212,1,12,0.08333333333333333,0.00965134515623115
1539,20135,0,12,0.0,0.00965134515623115
3364,394111,2,12,0.16666666666666666,0.00965134515623115
508,7250,1,12,0.08333333333333333,0.00965134515623115
2632,36374,1,12,0.08333333333333333,0.00965134515623115
809,11915,0,12,0.0,0.00965134515623115
1456,19510,0,11,0.0,0.008847066393211887
1253,17049,0,11,0.0,0.008847066393211887
3108,55039,0,11,0.0,0.008847066393211887
891,13370,0,11,0.0,0.008847066393211887
3116,55140,0,11,0.0,0.008847066393211887
238,3257,0,11,0.0,0.008847066393211887
1833,23158,3,11,0.2727272727272727,0.008847066393211887
865,12231,0,11,0.0,0.008847066393211887
596,10352,0,11,0.0,0.008847066393211887
3303,393467,0,11,0.0,0.008847066393211887
821,11990,0,11,0.0,0.008847066393211887
2021,26554,0,11,0.0,0.008847066393211887
1711,22302,0,11,0.0,0.008847066393211887
503,7202,0,11,0.0,0.008847066393211887
461,6594,0,11,0.0,0.008847066393211887
845,12112,0,11,0.0,0.008847066393211887
2545,33734,3,11,0.2727272727272727,0.008847066393211887
2892,46701,1,11,0.09090909090909091,0.008847066393211887
580,8134,2,11,0.18181818181818182,0.008847066393211887
2527,33647,0,11,0.0,0.008847066393211887
828,12019,0,11,0.0,0.008847066393211887
940,13728,0,11,0.0,0.008847066393211887
2230,30165,1,11,0.09090909090909091,0.008847066393211887
965,13855,0,11,0.0,0.008847066393211887
657,11052,0,11,0.0,0.008847066393211887
347,4604,0,11,0.0,0.008847066393211887
1854,23391,1,11,0.09090909090909091,0.008847066393211887
99,1348,0,11,0.0,0.008847066393211887
551,7843,0,11,0.0,0.008847066393211887
3142,61440,0,11,0.0,0.008847066393211887
2652,36545,0,11,0.0,0.008847066393211887
673,11138,0,11,0.0,0.008847066393211887
1651,21833,0,11,0.0,0.008847066393211887
1345,18671,0,11,0.0,0.008847066393211887
3300,393442,0,11,0.0,0.008847066393211887
1686,22093,0,11,0.0,0.008847066393211887
2133,27338,0,11,0.0,0.008847066393211887
1342,18632,1,11,0.09090909090909091,0.008847066393211887
3004,53828,0,10,0.0,0.008042787630192625
2983,53597,0,10,0.0,0.008042787630192625
2676,36790,0,10,0.0,0.008042787630192625
2608,36180,0,10,0.0,0.008042787630192625
1306,17356,0,10,0.0,0.008042787630192625
2953,53271,2,10,0.2,0.008042787630192625
28,73,2,10,0.2,0.008042787630192625
1299,17310,0,10,0.0,0.008042787630192625
1962,26076,0,10,0.0,0.008042787630192625
819,11979,0,10,0.0,0.008042787630192625
1216,16823,0,10,0.0,0.008042787630192625
1886,25611,0,10,0.0,0.008042787630192625
1798,22926,0,10,0.0,0.008042787630192625
391,5778,0,10,0.0,0.008042787630192625
997,14072,0,10,0.0,0.008042787630192625
2413,32645,0,10,0.0,0.008042787630192625
2150,27446,3,10,0.3,0.008042787630192625
2828,46255,0,10,0.0,0.008042787630192625
2248,30325,0,10,0.0,0.008042787630192625
