,,conversion,click,cvr,click percentage of total data
128,87302,1,162,0.006172839506172839,0.13029315960912052
117,87284,8,160,0.05,0.128684602083082
18,86834,19,156,0.12179487179487179,0.12546748703100494
24,86846,7,144,0.04861111111111111,0.11581614187477379
135,87309,2,141,0.014184397163120567,0.113403305585716
143,87324,15,137,0.10948905109489052,0.11018619053363896
129,87303,2,133,0.015037593984962405,0.10696907548156191
120,87287,1,123,0.008130081300813009,0.09892628785136928
126,87300,2,115,0.017391304347826087,0.0924920577472152
20,86842,1,107,0.009345794392523364,0.08605782764306108
109,87276,5,107,0.04672897196261682,0.08605782764306108
31,86854,6,103,0.05825242718446602,0.08284071259098404
41,86864,14,99,0.1414141414141414,0.07962359753890698
26,86849,1,79,0.012658227848101266,0.06353802227852173
23,86845,1,72,0.013888888888888888,0.057908070937386896
64,87042,0,63,0.0,0.05066956207021354
61,87039,0,60,0.0,0.048256725781155745
25,86847,3,59,0.05084745762711865,0.04745244701813649
69,87067,7,58,0.1206896551724138,0.04664816825511722
90,87166,0,55,0.0,0.04423533196605944
93,87169,0,55,0.0,0.04423533196605944
74,87149,0,52,0.0,0.04182249567700165
49,87027,0,51,0.0,0.041018216913982386
79,87154,0,49,0.0,0.03940965938794386
27,86850,1,49,0.02040816326530612,0.03940965938794386
75,87150,0,47,0.0,0.037801101861905335
86,87162,0,46,0.0,0.03699682309888607
30,86853,1,46,0.021739130434782608,0.03699682309888607
78,87153,0,44,0.0,0.03538826557284755
83,87158,0,43,0.0,0.034583986809828285
62,87040,0,43,0.0,0.034583986809828285
91,87167,0,43,0.0,0.034583986809828285
84,87159,0,42,0.0,0.03377970804680902
67,87045,0,42,0.0,0.03377970804680902
73,87148,0,41,0.0,0.03297542928378976
53,87031,0,41,0.0,0.03297542928378976
80,87155,0,40,0.0,0.0321711505207705
87,87163,0,39,0.0,0.031366871757751234
14,86780,0,39,0.0,0.031366871757751234
54,87032,0,39,0.0,0.031366871757751234
50,87028,0,38,0.0,0.030562592994731973
82,87157,0,38,0.0,0.030562592994731973
71,87146,0,37,0.0,0.029758314231712713
88,87164,0,37,0.0,0.029758314231712713
63,87041,0,37,0.0,0.029758314231712713
57,87035,0,36,0.0,0.028954035468693448
28,86851,1,36,0.027777777777777776,0.028954035468693448
56,87034,0,35,0.0,0.028149756705674187
70,87068,8,35,0.22857142857142856,0.028149756705674187
65,87043,0,34,0.0,0.027345477942654926
60,87038,0,33,0.0,0.026541199179635665
47,87025,0,33,0.0,0.026541199179635665
17,86833,6,32,0.1875,0.025736920416616398
85,87160,0,32,0.0,0.025736920416616398
127,87301,0,30,0.0,0.024128362890577872
52,87030,0,30,0.0,0.024128362890577872
33,86856,0,29,0.0,0.02332408412755861
58,87036,0,27,0.0,0.02171552660152009
10,86485,0,27,0.0,0.02171552660152009
11,86497,0,26,0.0,0.020911247838500825
81,87156,0,25,0.0,0.02010696907548156
35,86858,0,24,0.0,0.0193026903124623
34,86857,0,22,0.0,0.017694132786423775
59,87037,0,21,0.0,0.01688985402340451
38,86861,0,21,0.0,0.01688985402340451
32,86855,0,20,0.0,0.01608557526038525
21,86843,0,20,0.0,0.01608557526038525
29,86852,0,19,0.0,0.015281296497365987
140,87314,0,16,0.0,0.012868460208308199
148,87341,1,14,0.07142857142857142,0.011259902682269674
51,87029,0,14,0.0,0.011259902682269674
92,87168,0,11,0.0,0.008847066393211887
36,86859,0,9,0.0,0.007238508867173362
37,86860,1,8,0.125,0.006434230104154099
19,86841,0,7,0.0,0.005629951341134837
89,87165,0,6,0.0,0.004825672578115575
94,87170,0,5,0.0,0.004021393815096312
22,86844,0,5,0.0,0.004021393815096312
48,87026,0,4,0.0,0.0032171150520770497
40,86863,0,4,0.0,0.0032171150520770497
39,86862,0,4,0.0,0.0032171150520770497
72,87147,0,4,0.0,0.0032171150520770497
55,87033,0,3,0.0,0.0024128362890577875
108,87275,0,3,0.0,0.0024128362890577875
42,86865,1,2,0.5,0.0016085575260385248
66,87044,0,2,0.0,0.0016085575260385248
13,86779,0,1,0.0,0.0008042787630192624
46,87024,0,1,0.0,0.0008042787630192624
