,,conversion,click,cvr,click percentage of total data
405,jobs.myjobhelper.com,70,167,0.41916167664670656,0.13431455342421683
770,topsweeps.com,2,163,0.012269938650306749,0.13109743837213977
259,fb.autoweb.com,45,159,0.2830188679245283,0.12788032332006274
172,cutestat.com,1,155,0.0064516129032258064,0.12466320826798567
732,thecollegeinvestor.com,1,154,0.006493506493506494,0.12385892950496642
828,worldnewsdailyreport.com,0,149,0.0,0.11983753568987011
1035,www.forrentbyowner.com,0,146,0.0,0.11742469940081234
1258,www.reuters.com,0,145,0.0,0.11662042063779307
132,classifieds.craigclassifiedads.com,0,144,0.0,0.11581614187477379
22,abcnews.go.com,2,142,0.014084507042253521,0.11420758434873526
468,mediaalert.news,2,139,0.014388489208633094,0.11179474805967748
925,www.cnet.com,10,137,0.072992700729927,0.11018619053363896
1036,www.foxnews.com,5,137,0.0364963503649635,0.11018619053363896
923,www.clubslife.net,0,132,0.0,0.10616479671854266
628,"rt,m.autoweb.com",15,127,0.11811023622047244,0.10214340290344633
4,1600daily.com,0,126,0.0,0.10133912414042708
860,www.americantowns.com,0,125,0.0,0.10053484537740781
991,www.edmsmartpay.com,0,119,0.0,0.09570917279929224
135,cnaedu.com,60,115,0.5217391304347826,0.0924920577472152
1168,www.moneycontrol.com,3,113,0.02654867256637168,0.09088350022117665
246,es.carcarekiosk.com,0,112,0.0,0.09007922145815739
510,myaffordablehousingguide.com,5,102,0.049019607843137254,0.08203643382796477
881,www.bestdeals.today,8,102,0.0784313725490196,0.08203643382796477
609,related.autoweb.com,16,98,0.16326530612244897,0.07881931877588771
834,www.16dollarhouse.com,2,98,0.02040816326530612,0.07881931877588771
434,lifemoneystuff.com,0,98,0.0,0.07881931877588771
742,theplantguide.net,0,97,0.0,0.07801504001286846
651,search.smarterauto.com,46,96,0.4791666666666667,0.0772107612498492
1246,www.realrentals.com,0,92,0.0,0.07399364619777214
712,targetedcareer.com,46,90,0.5111111111111111,0.07238508867173363
407,jobsdestiny.com,12,90,0.13333333333333333,0.07238508867173363
473,medicarecode.net,3,89,0.033707865168539325,0.07158080990871436
236,echeck.org,4,88,0.045454545454545456,0.0707765311456951
845,www.activatecreditcard.com,1,88,0.011363636363636364,0.0707765311456951
754,time.com,1,87,0.011494252873563218,0.06997225238267583
253,examresults2016.in,1,81,0.012345679012345678,0.06514657980456026
899,www.carcarekiosk.com,2,79,0.02531645569620253,0.06353802227852173
1327,www.template.net,0,79,0.0,0.06353802227852173
1329,www.thebalance.com,0,79,0.0,0.06353802227852173
951,www.cscscholarship.org,5,76,0.06578947368421052,0.06112518598946395
144,collegeraptor.com,14,75,0.18666666666666668,0.06032090722644469
647,scholarships4moms.net,16,73,0.2191780821917808,0.05871234970040617
1219,www.phlebotomycareers.net,40,71,0.5633802816901409,0.05710379217436763
476,medicarepdf.info,0,69,0.0,0.05549523464832911
213,discount99.us,1,68,0.014705882352941176,0.05469095588530985
1285,www.seniorcorps.org,0,67,0.0,0.05388667712229059
238,education.howthemarketworks.com,0,66,0.0,0.05308239835927133
1340,www.thedealstream.com,6,64,0.09375,0.051473840833232795
478,medicareworld.com,5,63,0.07936507936507936,0.05066956207021354
1045,www.getcnajobs.com,21,61,0.3442622950819672,0.049061004544175016
924,www.cnacourse.org,25,59,0.423728813559322,0.04745244701813649
490,mn.homeownershipgroup.com,0,55,0.0,0.04423533196605944
459,magavoter.com,0,54,0.0,0.04343105320304018
805,va.org,1,53,0.018867924528301886,0.04262677444002091
1106,www.investorpoint.com,2,53,0.03773584905660377,0.04262677444002091
844,www.activatecard.ca,0,52,0.0,0.04182249567700165
303,generalcontractorlicenseguide.com,1,52,0.019230769230769232,0.04182249567700165
277,fitlifestyle.xyz,0,51,0.0,0.041018216913982386
1249,www.refundschedule.com,0,51,0.0,0.041018216913982386
784,tricare.com,3,51,0.058823529411764705,0.041018216913982386
679,singlemoms.org,5,50,0.1,0.04021393815096312
1180,www.mymoneyblog.com,0,49,0.0,0.03940965938794386
1242,www.radrenter.com,0,48,0.0,0.0386053806249246
1161,www.militaryrates.com,0,48,0.0,0.0386053806249246
1047,www.gethealthcarejobs.com,20,48,0.4166666666666667,0.0386053806249246
1342,www.thediscountfarm.com,5,48,0.10416666666666667,0.0386053806249246
1387,www.verywellhealth.com,3,47,0.06382978723404255,0.037801101861905335
467,medgadgets.info,0,47,0.0,0.037801101861905335
