,,conversion,click,cvr,click percentage of total data,
0,1,7224,115068,0.062780269,92.5467487,
1,2,75,9251,0.008107232,7.440382837,
2,4,2,13,0.153846154,0.010455624,misc
3,11,0,3,0,0.002412836,misc
